test_dur,protocol,pkt_len,pd,ed,nav,eirp,nss,mcs,per,mean_rssi_value,std_rssi_value,ap_hear_prob_pd,nav_silence_ratio,pd_counts,ap_pair_hear_prob_pd,throughput
60,tcp,1500,-82,-62,-82,9,2,11,0.04,-89.0,1.8439088914585775,0.0,0.0,2.0,0.0,205.32
60,tcp,1500,-82,-62,-82,9,2,11,0.04,-92.13888888888889,1.2282050538574527,0.0,0.0,0.0,0.0,206.67
60,tcp,1500,-82,-62,-82,9,2,9,0.08,-91.04545454545455,1.73145426861281,0.0,0.0,5.0,0.0,144.0
60,udp,1500,-82,-62,-82,9,2,11,0.03,-89.0,1.8439088914585775,0.0,0.0,2.0,0.0,199.63
60,udp,1500,-82,-62,-82,9,2,11,0.03,-92.13888888888889,1.2282050538574527,0.0,0.0,0.0,0.0,161.81
60,udp,1500,-82,-62,-82,9,2,9,0.07,-91.04545454545455,1.73145426861281,0.0,0.0,5.0,0.0,163.21
60,tcp,1500,-82,-62,-82,10,2,11,0.03,-89.71428571428571,9.414491651768802,0.07142857142857142,14.360833333333334,1.0,0.0,216.0
60,tcp,1500,-82,-62,-82,10,2,11,0.04,-92.20338983050847,0.8592401258058696,0.0,0.0,0.0,0.0,208.0
60,tcp,1500,-82,-62,-82,10,2,9,0.07,-80.0,6.298147875897061,0.5,27.944333333333333,6.0,0.0,153.34
60,udp,1500,-82,-62,-82,10,2,11,0.02,-89.71428571428571,9.414491651768802,0.07142857142857142,7.514833333333334,1.0,0.0,202.31
60,udp,1500,-82,-62,-82,10,2,11,0.01,-92.20338983050847,0.8592401258058696,0.0,0.0,0.0,0.0,180.16
60,udp,1500,-82,-62,-82,10,2,10,0.08,-80.0,6.298147875897061,0.5,23.9215,6.0,0.0,117.78
60,tcp,1500,-82,-62,-82,11,2,10,0.07,-88.65853658536585,0.9780457393055328,0.0,0.0,2.0,0.0,186.68
60,tcp,1500,-82,-62,-82,11,2,11,0.05,-91.51162790697674,1.0863228571280616,0.0,0.0,0.0,0.0,213.32
60,tcp,1500,-82,-62,-82,11,2,10,0.1,-59.0,1.0,1.0,31.473666666666666,3.0,0.0,160.0
60,udp,1500,-82,-62,-82,11,2,11,0.08,-88.65853658536585,0.9780457393055328,0.0,0.0,2.0,0.0,186.83
60,udp,1500,-82,-62,-82,11,2,11,0.02,-91.51162790697674,1.0863228571280616,0.0,0.0,0.0,0.0,188.38
60,udp,1500,-82,-62,-82,11,2,9,0.1,-59.0,1.0,1.0,25.725,3.0,0.0,144.36
60,tcp,1500,-82,-62,-82,12,2,11,0.07,-88.12162162162163,1.4137615409494069,0.0,0.0,3.0,0.0,190.67
60,tcp,1500,-82,-62,-82,12,2,11,0.05,-91.07692307692308,0.8438196242002223,0.0,0.0,0.0,0.0,216.0
60,tcp,1500,-82,-62,-82,12,2,10,0.11,-89.3913043478261,1.5642509093404424,0.0,0.0,5.0,0.0,158.67
60,udp,1500,-82,-62,-82,12,2,10,0.06,-88.12162162162163,1.4137615409494069,0.0,0.0,3.0,0.0,192.95
60,udp,1500,-82,-62,-82,12,2,11,0.02,-91.07692307692308,0.8438196242002223,0.0,0.0,0.0,0.0,183.65
60,udp,1500,-82,-62,-82,12,2,10,0.1,-89.3913043478261,1.5642509093404424,0.0,0.0,5.0,0.0,156.23
60,tcp,1500,-82,-62,-82,13,2,11,0.06,-84.65384615384616,6.375688847804892,0.038461538461538464,17.388,11.0,0.01694915254237288,205.34
60,tcp,1500,-82,-62,-82,13,2,11,0.03,-88.8695652173913,6.405190475571776,0.021739130434782608,14.811,1.0,0.01694915254237288,218.68
60,tcp,1500,-82,-62,-82,13,2,10,0.11,-88.88135593220339,3.4888915522186665,0.01694915254237288,14.811,2.0,0.01694915254237288,160.0
60,udp,1500,-82,-62,-82,13,2,11,0.05,-84.65384615384616,6.375688847804892,0.038461538461538464,9.935333333333332,11.0,0.01694915254237288,162.73
60,udp,1500,-82,-62,-82,13,2,11,0.02,-88.8695652173913,6.405190475571776,0.021739130434782608,8.196,1.0,0.01694915254237288,172.07
60,udp,1500,-82,-62,-82,13,2,10,0.07,-88.88135593220339,3.4888915522186665,0.01694915254237288,8.196,2.0,0.01694915254237288,166.36
60,tcp,1500,-82,-62,-82,14,2,11,0.05,-87.5679012345679,2.5089384485063673,0.0,0.0,27.0,0.0,205.34
60,tcp,1500,-82,-62,-82,14,2,11,0.02,-90.24074074074075,5.837094613365218,0.018518518518518517,14.121,1.0,0.0,218.68
60,tcp,1500,-82,-62,-82,14,2,10,0.09,-61.5,8.5,1.0,32.89183333333333,2.0,0.0,168.0
60,udp,1500,-82,-62,-82,14,2,11,0.03,-87.5679012345679,2.5089384485063673,0.0,0.0,27.0,0.0,156.66
60,udp,1500,-82,-62,-82,14,2,11,0.01,-90.24074074074075,5.837094613365218,0.018518518518518517,13.968333333333334,1.0,0.0,203.68
60,udp,1500,-82,-62,-82,14,2,10,0.07,-61.5,8.5,1.0,21.706333333333333,2.0,0.0,158.06
60,tcp,1500,-82,-62,-82,15,2,11,0.03,-86.83333333333333,1.9704006274051564,0.0,0.0,33.0,0.0,212.0
60,tcp,1500,-82,-62,-82,15,2,11,0.02,-89.10434782608695,1.2256243345543512,0.0,0.0,0.0,0.0,221.33
60,tcp,1500,-82,-62,-82,15,2,11,0.07,-87.42222222222222,3.1018910998069757,0.022222222222222223,16.313333333333333,34.0,0.0,178.66
60,udp,1500,-82,-62,-82,15,2,11,0.01,-86.83333333333333,1.9704006274051564,0.0,0.0,33.0,0.0,175.62
60,udp,1500,-82,-62,-82,15,2,11,0.01,-89.10434782608695,1.2256243345543512,0.0,0.0,0.0,0.0,193.74
60,udp,1500,-82,-62,-82,15,2,10,0.06,-87.42222222222222,3.1018910998069757,0.022222222222222223,9.355666666666666,34.0,0.0,186.12
60,tcp,1500,-82,-62,-82,16,2,11,0.03,-88.81395348837209,5.248502838367175,0.023255813953488372,14.2975,1.0,0.0,210.67
60,tcp,1500,-82,-62,-82,16,2,11,0.02,-88.1651376146789,1.1614113643360775,0.0,0.0,2.0,0.0,220.01
60,tcp,1500,-82,-62,-82,16,2,11,0.05,-85.97560975609755,1.3522845146955234,0.024390243902439025,16.173333333333332,64.0,0.0,187.99
60,udp,1500,-82,-62,-82,16,2,11,0.03,-88.81395348837209,5.248502838367175,0.023255813953488372,13.545,1.0,0.0,114.18
60,udp,1500,-82,-62,-82,16,2,11,0.01,-88.1651376146789,1.1614113643360775,0.0,0.0,2.0,0.0,219.32
60,udp,1500,-82,-62,-82,16,2,11,0.04,-85.97560975609755,1.3522845146955234,0.024390243902439025,4.1146666666666665,64.0,0.0,178.21
60,tcp,1500,-82,-62,-82,17,2,11,0.05,-82.58823529411765,2.89134252410459,0.27450980392156865,22.364333333333335,45.0,0.037037037037037035,183.99
60,tcp,1500,-82,-62,-82,17,2,11,0.02,-86.88888888888889,7.197393218089621,0.037037037037037035,10.791,4.0,0.037037037037037035,216.0
60,tcp,1500,-82,-62,-82,17,2,11,0.05,-82.18518518518519,2.841974236037167,0.3888888888888889,21.215,63.0,0.037037037037037035,148.0
60,udp,1500,-82,-62,-82,17,2,11,0.07,-82.58823529411765,2.89134252410459,0.27450980392156865,18.8735,45.0,0.037037037037037035,93.91
60,udp,1500,-82,-62,-82,17,2,11,0.03,-86.88888888888889,7.197393218089621,0.037037037037037035,7.856,4.0,0.037037037037037035,177.73
60,udp,1500,-82,-62,-82,17,2,11,0.05,-82.18518518518519,2.841974236037167,0.3888888888888889,18.5535,63.0,0.037037037037037035,103.55
60,tcp,1500,-82,-62,-82,18,2,11,0.07,-85.31481481481481,3.403832665916217,0.37037037037037035,23.2665,46.0,0.0,164.0
60,tcp,1500,-82,-62,-82,18,2,11,0.03,-86.89189189189189,1.618314946971669,0.0,0.0,19.0,0.0,218.68
60,tcp,1500,-82,-62,-82,18,2,11,0.03,-83.36440677966101,1.3319111681917968,0.22033898305084745,26.339833333333335,108.0,0.0,80.0
60,udp,1500,-82,-62,-82,18,2,11,0.06,-85.31481481481481,3.403832665916217,0.37037037037037035,16.496666666666666,46.0,0.0,157.46
60,udp,1500,-82,-62,-82,18,2,11,0.02,-86.89189189189189,1.618314946971669,0.0,0.0,19.0,0.0,168.82
60,udp,1500,-82,-62,-82,18,2,11,0.02,-83.36440677966101,1.3319111681917968,0.22033898305084745,20.449333333333332,108.0,0.0,99.09
60,tcp,1500,-82,-62,-82,19,2,11,0.03,-81.85,3.5908448402383897,0.6333333333333333,21.594,59.0,0.009009009009009009,170.66
60,tcp,1500,-82,-62,-82,19,2,11,0.02,-85.58558558558559,1.0943628568692048,0.009009009009009009,4.864,54.0,0.009009009009009009,213.32
60,tcp,1500,-82,-62,-82,19,2,11,0.09,-82.79310344827586,1.44745461115968,0.49137931034482757,25.509333333333334,79.0,0.009009009009009009,64.0
60,udp,1500,-82,-62,-82,19,2,11,0.06,-81.85,3.5908448402383897,0.6333333333333333,20.090166666666665,59.0,0.009009009009009009,142.9
60,udp,1500,-82,-62,-82,19,2,11,0.02,-85.58558558558559,1.0943628568692048,0.009009009009009009,7.307166666666666,54.0,0.009009009009009009,188.17
60,udp,1500,-82,-62,-82,19,2,11,0.07,-82.79310344827586,1.44745461115968,0.49137931034482757,23.167,79.0,0.009009009009009009,96.31
60,tcp,1500,-82,-62,-82,20,2,11,0.04,-83.13157894736842,3.6189393568183363,0.5087719298245614,15.1725,67.0,0.20754716981132076,181.32
60,tcp,1500,-82,-62,-82,20,2,11,0.02,-83.85,1.7825543469975886,0.2625,1.0558333333333334,60.0,0.20754716981132076,190.67
60,tcp,1500,-82,-62,-82,20,2,11,0.08,-82.69811320754717,3.373508926585209,0.20754716981132076,23.316333333333333,113.0,0.20754716981132076,28.01
60,udp,1500,-82,-62,-82,20,2,11,0.07,-83.13157894736842,3.6189393568183363,0.5087719298245614,21.139,67.0,0.20754716981132076,91.74
60,udp,1500,-82,-62,-82,20,2,11,0.02,-83.85,1.7825543469975886,0.2625,12.549,60.0,0.20754716981132076,114.67
60,udp,1500,-82,-62,-82,20,2,11,0.02,-82.69811320754717,3.373508926585209,0.20754716981132076,15.111666666666666,113.0,0.20754716981132076,167.85
60,tcp,1500,-82,-62,-82,21,2,11,0.03,-82.91588785046729,1.972339070236969,0.5046728971962616,16.2835,75.0,0.11009174311926606,182.66
60,tcp,1500,-82,-62,-82,21,2,11,0.03,-83.93577981651376,1.2136473903966012,0.11009174311926606,15.5575,95.0,0.11009174311926606,190.67
60,tcp,1500,-82,-62,-82,21,2,11,0.05,-81.73109243697479,1.5377462444967338,0.7142857142857143,27.174,121.0,0.11009174311926606,36.0
60,udp,1500,-82,-62,-82,21,2,11,0.06,-82.91588785046729,1.972339070236969,0.5046728971962616,17.192,75.0,0.11009174311926606,92.41
60,udp,1500,-82,-62,-82,21,2,11,0.04,-83.93577981651376,1.2136473903966012,0.11009174311926606,16.937833333333334,95.0,0.11009174311926606,98.58
60,udp,1500,-82,-62,-82,21,2,11,0.04,-81.73109243697479,1.5377462444967338,0.7142857142857143,13.527166666666666,121.0,0.11009174311926606,140.82
60,tcp,1500,-82,-62,-82,22,2,11,0.03,-82.13675213675214,2.7203128996306924,0.5042735042735043,0.7106666666666667,100.0,0.08620689655172414,186.67
60,tcp,1500,-82,-62,-82,22,2,11,0.03,-82.51724137931035,6.029357429337024,0.08620689655172414,10.183333333333334,54.0,0.08620689655172414,182.67
60,tcp,1500,-82,-62,-82,22,2,11,0.05,-80.5575221238938,1.4075526560662053,0.9203539823008849,23.192666666666668,115.0,0.08620689655172414,16.0
60,udp,1500,-82,-62,-82,22,2,11,0.1,-82.13675213675214,2.7203128996306924,0.5042735042735043,12.177,100.0,0.08620689655172414,94.34
60,udp,1500,-82,-62,-82,22,2,11,0.03,-82.51724137931035,6.029357429337024,0.08620689655172414,19.149,54.0,0.08620689655172414,91.21
60,udp,1500,-82,-62,-82,22,2,11,0.04,-80.5575221238938,1.4075526560662053,0.9203539823008849,13.413,115.0,0.08620689655172414,144.24
60,tcp,1500,-82,-62,-82,23,2,11,0.04,-80.11214953271028,3.091523239481921,0.5981308411214953,14.103333333333333,96.0,0.5981308411214953,177.32
60,tcp,1500,-82,-62,-82,23,2,11,0.02,-48.0,6.0,1.0,10.088833333333334,63.0,0.5981308411214953,177.34
60,tcp,1500,-82,-62,-82,23,2,11,0.03,-80.83050847457628,3.632025826706135,0.9152542372881356,22.0455,124.0,0.5981308411214953,21.33
60,udp,1500,-82,-62,-82,23,2,11,0.09,-80.11214953271028,3.091523239481921,0.5981308411214953,18.519833333333334,96.0,0.5981308411214953,87.05
60,udp,1500,-82,-62,-82,23,2,11,0.04,-48.0,6.0,1.0,17.437,63.0,0.5981308411214953,101.52
60,udp,1500,-82,-62,-82,23,2,11,0.03,-80.83050847457628,3.632025826706135,0.9152542372881356,12.742833333333333,124.0,0.5981308411214953,139.15
60,tcp,1500,-82,-62,-82,24,2,11,0.05,-79.81188118811882,2.5590564136919673,0.8118811881188119,13.804333333333334,109.0,0.8118811881188119,102.66
60,tcp,1500,-82,-62,-82,24,2,11,0.04,-80.62962962962963,4.679728926528625,0.9629629629629629,12.223,54.0,0.8118811881188119,126.67
60,tcp,1500,-82,-62,-82,24,2,11,0.05,-78.08108108108108,2.3941939347157035,1.0,17.051333333333332,121.0,0.8118811881188119,58.66
60,udp,1500,-82,-62,-82,24,2,11,0.06,-79.81188118811882,2.5590564136919673,0.8118811881188119,14.397,109.0,0.8118811881188119,135.3
60,udp,1500,-82,-62,-82,24,2,11,0.02,-80.62962962962963,4.679728926528625,0.9629629629629629,14.525666666666666,54.0,0.8118811881188119,147.4
60,udp,1500,-82,-62,-82,24,2,11,0.05,-78.08108108108108,2.3941939347157035,1.0,19.262666666666668,121.0,0.8118811881188119,57.36
60,tcp,1500,-82,-62,-82,25,2,11,0.03,-78.66666666666667,3.0471766088110623,0.9369369369369369,8.315666666666667,112.0,0.9369369369369369,149.32
60,tcp,1500,-82,-62,-82,25,2,11,0.02,-79.63157894736842,1.415844908586679,0.9736842105263158,11.890333333333333,109.0,0.9369369369369369,161.32
60,tcp,1500,-82,-62,-82,25,2,11,0.15,-77.14545454545454,1.9855677623397738,1.0,19.712,117.0,0.9369369369369369,2.66
60,tcp,1500,-82,-62,-82,26,2,11,0.07,-75.37288135593221,3.9910845774761095,1.0,12.957333333333333,59.0,0.9504950495049505,102.66
60,tcp,1500,-82,-62,-82,26,2,11,0.03,-78.87128712871286,2.056929203750161,0.9504950495049505,11.808,105.0,0.9504950495049505,120.0
60,tcp,1500,-82,-62,-82,26,2,11,0.05,-77.08333333333333,1.594696069963037,0.9916666666666667,16.584,123.0,0.9504950495049505,57.33
60,udp,1500,-82,-62,-82,26,2,11,0.09,-75.37288135593221,3.9910845774761095,1.0,14.7245,59.0,0.9504950495049505,100.18
60,udp,1500,-82,-62,-82,26,2,11,0.04,-78.87128712871286,2.056929203750161,0.9504950495049505,14.0675,105.0,0.9504950495049505,120.98
60,udp,1500,-82,-62,-82,26,2,11,0.07,-77.08333333333333,1.594696069963037,0.9916666666666667,16.617,123.0,0.9504950495049505,84.44
60,tcp,1500,-82,-62,-82,27,2,11,0.09,-77.15044247787611,3.353036502413031,0.9734513274336283,13.075166666666666,117.0,0.9508196721311475,88.01
60,tcp,1500,-82,-62,-82,27,2,11,0.03,-78.75409836065573,1.883106412504876,0.9508196721311475,12.081,125.0,0.9508196721311475,103.99
60,tcp,1500,-82,-62,-82,27,2,11,0.05,-75.06451612903226,2.0309775791867346,1.0,14.604833333333334,127.0,0.9508196721311475,69.33
60,udp,1500,-82,-62,-82,27,2,11,0.11,-77.15044247787611,3.353036502413031,0.9734513274336283,15.191833333333333,117.0,0.9508196721311475,89.98
60,udp,1500,-82,-62,-82,27,2,11,0.05,-78.75409836065573,1.883106412504876,0.9508196721311475,13.815166666666666,125.0,0.9508196721311475,114.22
